snap_at,kind,event_id,sport_key,tournament,tour,surface,best_of,start,a,b,key_a,key_b,p_a,n_books,avg_a,avg_b,best_a,best_b,book_a,book_b,pin_a,pin_b
2026-09-11T19:04:43.425088+00:00,main,a5886c5c9ac0bf4cac219e292081d438,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-11T19:12:43+00:00,Alexander Zverev,Karen Khachanov,ATP|Z355,ATP|KE29,0.8699330283842536,22,1.1868181818181818,4.717727272727274,1.22,5.4,Betfair,Betfair,1.22,4.85
2026-09-11T19:04:43.425088+00:00,main,c0c9321519b34aea833d0e7708b28411,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-11T23:00:00+00:00,Frances Tiafoe,Ben Shelton,ATP|TD51,ATP|S0S1,0.40264579833702147,23,3.4030434782608694,1.337391304347826,3.65,1.37,Betfair,Betfair,3.47,1.36
2026-09-11T19:04:43.425088+00:00,main,ae27d60e039955331961cbb317314ab9,tennis_wta_us_open,WTA US Open,WTA,Hard,3,2026-09-12T20:00:00+00:00,Aryna Sabalenka,Elena Rybakina,WTA|214544,WTA|214981,0.5653764534357458,23,1.722608695652174,2.15304347826087,1.79,2.26,Betfair,Matchbook,1.74,2.2
2026-09-11T19:18:46.845901+00:00,main,a5886c5c9ac0bf4cac219e292081d438,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-11T19:12:43+00:00,Alexander Zverev,Karen Khachanov,ATP|Z355,ATP|KE29,0.8699330283842536,20,1.1759999999999997,4.691000000000001,1.23,5.2,Betfair,Unibet (NL),1.22,4.86
2026-09-11T19:18:46.845901+00:00,main,c0c9321519b34aea833d0e7708b28411,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-11T23:00:00+00:00,Frances Tiafoe,Ben Shelton,ATP|TD51,ATP|S0S1,0.40264579833702147,23,3.4030434782608694,1.337391304347826,3.65,1.37,Betfair,Betfair,3.47,1.36
2026-09-11T19:18:46.845901+00:00,main,ae27d60e039955331961cbb317314ab9,tennis_wta_us_open,WTA US Open,WTA,Hard,3,2026-09-12T20:00:00+00:00,Aryna Sabalenka,Elena Rybakina,WTA|214544,WTA|214981,0.5653764534357458,23,1.7221739130434786,2.1539130434782607,1.78,2.26,Winamax (DE),Betfair,1.74,2.2
2026-09-11T22:31:41.453526+00:00,close,c0c9321519b34aea833d0e7708b28411,tennis_atp_us_open,ATP US Open,,,,2026-09-11T23:00:00+00:00,Frances Tiafoe,Ben Shelton,,,,23,3.4413043478260867,1.331304347826087,3.65,1.37,Betfair,Betfair,3.47,1.36
2026-09-12T05:03:27.322981+00:00,main,ae27d60e039955331961cbb317314ab9,tennis_wta_us_open,WTA US Open,WTA,Hard,3,2026-09-12T20:00:00+00:00,Aryna Sabalenka,Elena Rybakina,WTA|214544,WTA|214981,0.5653472759105209,22,1.7177272727272723,2.1590909090909096,1.78,2.34,1xBet,Betfair,1.72,2.25
2026-09-12T05:03:27.322981+00:00,main,f3cdf500b7ae26bf7f70f24ac0f74d50,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-13T18:00:00+00:00,Alexander Zverev,Ben Shelton,ATP|Z355,ATP|S0S1,0.6335619238899767,19,1.6526315789473682,2.2405263157894737,1.71,2.4,Betfair,Betfair,1.66,2.34
2026-09-12T21:15:57.763989+00:00,main,ae27d60e039955331961cbb317314ab9,tennis_wta_us_open,WTA US Open,WTA,Hard,3,2026-09-12T20:10:33+00:00,Aryna Sabalenka,Elena Rybakina,WTA|214544,WTA|214981,0.5695963548795129,17,3.343529411764706,1.3088235294117647,4.2,1.48,Betfair,Pinnacle,2.83,1.48
2026-09-12T21:15:57.763989+00:00,main,f3cdf500b7ae26bf7f70f24ac0f74d50,tennis_atp_us_open,ATP US Open,ATP,Hard,5,2026-09-13T18:00:00+00:00,Alexander Zverev,Ben Shelton,ATP|Z355,ATP|S0S1,0.6670254705484766,23,1.6773913043478264,2.2495652173913046,1.73,2.34,Betfair,Betfair,1.69,2.3
